colour,quantity
black-green,
black-orange,
black-red,
black-white,
black-yellow-red,
black-yellow,
black,
blue-black,
blue-red,
blue-white-blue,
blue-white,
blue-yellow,
blue,
brown,
bue-green,
burgundy-white,
burgundy-yellow,
checkered-red,
checkered,
claret-blue,
green-white-green,
green-white-orange,
green-white-red,
green-white,
green-yellow,
green,
grey-black,
grey,
light-blue-white,
light-blue,
maroon,
navy-blue-light-blue,
navy-blue,
olympic,
orange-blue,
orange-green,
orange-white,
orange,
pink,
purple-white,
purple-yellow,
purple,
rainbow,
red-green-white,
red-green,
red-white-black,
red-white-blue-white-red,
red-white-blue,
red-white-light-blue,
red-white-red,
red-white,
red-yellow-green,
red-yellow-red,
red-yellow,
red,
white-blue-red,
white-red-blue,
white,
yellow-white,
yellow,
